zone_id,time_period,mode,jobs_15,jobs_30,jobs_45,cluster_jobs_45,access_index_45
113001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
116011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
116012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
116013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
116021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
116022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
117001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
117002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
117003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
117004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
118024,AllDay,transit,0.0,0.0,0.0,0.0,0.0
119021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
119022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
119023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
119024,AllDay,transit,0.0,0.0,0.0,0.0,0.0
120021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
120022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
120031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
120032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
12011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
12012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
12021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
12022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
121011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
121021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
121022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
122001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
122002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
123021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
123031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
123032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
123041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
