"tract","yr_id","full_name","jobs"
"100.14","2010","Professional and Business Services","0"
"100.14","2010","Education and Healthcare","0"
"100.14","2010","Leisure and Hospitality","0"
"100.14","2010","Office Services","0"
"100.14","2010","Government","0"
"100.14","2010","Self-Employed","0"
"100.15","2010","Military","0"
"100.15","2010","Agriculture and Mining","0"
"100.15","2010","Construction","0"
"100.15","2010","Manufacturing","0"
"100.15","2010","Wholesale Trade","0"
"100.15","2010","Retail Trade","0"
"100.15","2010","Transporation, Warehousing, and Utilities","0"
"100.15","2010","Information","0"
"100.15","2010","Finance and Real Estate","0"
"100.15","2010","Professional and Business Services","0"
"100.15","2010","Education and Healthcare","0"
"100.15","2010","Leisure and Hospitality","0"
"100.15","2010","Office Services","0"
"100.15","2010","Government","0"
"100.15","2010","Self-Employed","0"
"101.03","2010","Military","0"
"101.03","2010","Agriculture and Mining","0"
"101.03","2010","Construction","0"
"101.03","2010","Manufacturing","0"
"101.03","2010","Wholesale Trade","0"
"101.03","2010","Retail Trade","0"
"101.03","2010","Transporation, Warehousing, and Utilities","0"
"101.03","2010","Information","0"
"101.03","2010","Finance and Real Estate","0"
"101.03","2010","Professional and Business Services","0"
"101.03","2010","Education and Healthcare","0"
"101.03","2010","Leisure and Hospitality","0"
"101.03","2010","Office Services","0"
"101.03","2010","Government","0"
"101.03","2010","Self-Employed","0"
"101.04","2010","Military","0"
"101.04","2010","Agriculture and Mining","0"
"101.04","2010","Construction","0"
"101.04","2010","Manufacturing","0"
"101.04","2010","Wholesale Trade","0"
"101.04","2010","Retail Trade","0"
"101.04","2010","Transporation, Warehousing, and Utilities","0"
"101.04","2010","Information","0"
"101.04","2010","Finance and Real Estate","0"
"101.04","2010","Professional and Business Services","0"
"101.04","2010","Education and Healthcare","0"
"101.04","2010","Leisure and Hospitality","0"
"101.04","2010","Office Services","0"
"101.04","2010","Government","0"
"101.04","2010","Self-Employed","0"
"101.06","2010","Military","0"
"101.06","2010","Agriculture and Mining","0"
"101.06","2010","Construction","0"
"101.06","2010","Manufacturing","0"
"101.06","2010","Wholesale Trade","0"
"101.06","2010","Retail Trade","0"
"101.06","2010","Transporation, Warehousing, and Utilities","0"
"101.06","2010","Information","0"
"101.06","2010","Finance and Real Estate","0"
"101.06","2010","Professional and Business Services","0"
"101.06","2010","Education and Healthcare","0"
"101.06","2010","Leisure and Hospitality","0"
"101.06","2010","Office Services","0"
"101.06","2010","Government","0"
"101.06","2010","Self-Employed","0"
"101.07","2010","Military","0"
"101.07","2010","Agriculture and Mining","0"
"101.07","2010","Construction","0"
"101.07","2010","Manufacturing","0"
"101.07","2010","Wholesale Trade","0"
"101.07","2010","Retail Trade","0"
"101.07","2010","Transporation, Warehousing, and Utilities","0"
"101.07","2010","Information","0"
"101.07","2010","Finance and Real Estate","0"
"101.07","2010","Professional and Business Services","0"
"101.07","2010","Education and Healthcare","0"
"101.07","2010","Leisure and Hospitality","0"
"101.07","2010","Office Services","0"
"101.07","2010","Government","0"
"101.07","2010","Self-Employed","0"
